ID_vehicule,type_vehicule,kilometrage_total,km_moyen_jour,nombre_vidanges,nb_freins_changes,jours_dernier_entretien,type_route,temperature_moyenne,bruit_moteur,vibration,temoin_moteur_allume,panne_dans_30_jours
V10000,,15170.0,93.2,1.0,2.0,378.0,rural,15.3,aucun,0.0,0.0,0.0
V10001,PL,14183.0,67.8,2.0,2.0,213.0,autoroute,31.1,aucun,0.0,0.0,1.0
V10002,VUL,,44.8,12.0,0.0,145.0,rural,14.9,aucun,0.0,0.0,
V10003,VL,14353.0,71.4,1.0,0.0,232.0,urbain,31.2,élevé,0.0,0.0,1.0
V10004,VL,15869.0,48.5,3.0,,370.0,rural,23.5,faible,0.0,0.0,0.0
V10005,VL,71230.0,42.6,7.0,0.0,233.0,urbain,5.7,aucun,0.0,0.0,0.0
V10006,VL,29868.0,31.1,4.0,1.0,213.0,urbain,14.0,aucun,0.0,0.0,1.0
V10007,PL,74964.0,16.2,7.0,1.0,366.0,rural,5.7,aucun,0.0,1.0,0.0
V10008,VUL,3380.0,50.3,0.0,1.0,60.0,urbain,29.3,faible,0.0,0.0,0.0
V10009,VUL,33429.0,64.0,4.0,2.0,362.0,urbain,19.8,élevé,0.0,0.0,0.0
V10010,VL,1709.0,57.6,0.0,0.0,,urbain,2.2,aucun,1.0,,1.0
V10011,PL,3235.0,49.6,2.0,0.0,94.0,rural,23.0,faible,1.0,,
V10012,VUL,118456.0,36.4,12.0,0.0,329.0,urbain,15.7,aucun,0.0,0.0,1.0
V10013,VL,7497.0,75.2,0.0,0.0,215.0,autoroute,8.1,aucun,0.0,0.0,0.0
V10014,VL,38009.0,27.1,3.0,1.0,212.0,urbain,,élevé,0.0,0.0,1.0
V10015,VL,26474.0,79.4,3.0,0.0,303.0,urbain,20.9,aucun,0.0,0.0,0.0
V10016,VL,21335.0,34.9,4.0,1.0,199.0,urbain,17.7,aucun,0.0,0.0,0.0
V10017,VL,115045.0,41.2,,0.0,351.0,rural,16.8,aucun,0.0,,1.0
V10018,VL,1103.0,,3.0,0.0,30.0,urbain,7.9,aucun,0.0,0.0,0.0
V10019,VL,54500.0,47.5,6.0,0.0,289.0,autoroute,9.6,aucun,,0.0,1.0
V10020,VUL,165377.0,84.4,17.0,1.0,342.0,autoroute,30.3,élevé,0.0,0.0,1.0
V10021,VL,41068.0,72.9,4.0,1.0,134.0,autoroute,16.2,aucun,0.0,1.0,0.0
V10022,VL,138090.0,84.5,14.0,0.0,82.0,autoroute,20.2,faible,0.0,0.0,1.0
V10023,VL,,73.1,0.0,0.0,390.0,urbain,3.6,aucun,0.0,0.0,0.0
V10024,VL,27132.0,32.4,3.0,1.0,,rural,9.5,aucun,0.0,0.0,1.0
V10025,VUL,15065.0,51.7,2.0,0.0,391.0,,24.9,élevé,1.0,0.0,0.0
V10026,VL,,40.5,6.0,1.0,205.0,rural,23.0,aucun,0.0,0.0,0.0
V10027,VL,198953.0,93.3,19.0,0.0,384.0,autoroute,34.0,aucun,1.0,0.0,1.0
V10028,VL,14821.0,30.1,3.0,1.0,380.0,,30.7,aucun,0.0,0.0,1.0
V10029,VL,53091.0,82.3,6.0,1.0,76.0,autoroute,18.2,aucun,0.0,0.0,0.0
V10030,VUL,11038.0,82.3,,1.0,258.0,urbain,23.8,,0.0,0.0,0.0
V10031,VL,41658.0,,4.0,0.0,91.0,autoroute,17.5,faible,0.0,0.0,0.0
V10032,VL,31174.0,49.8,5.0,2.0,398.0,rural,36.4,élevé,0.0,0.0,1.0
V10033,PL,178787.0,77.8,19.0,2.0,99.0,rural,29.2,aucun,0.0,0.0,1.0
V10034,PL,46891.0,117.0,4.0,0.0,382.0,urbain,21.4,faible,0.0,0.0,1.0
V10035,VUL,21501.0,44.6,2.0,1.0,194.0,autoroute,21.6,faible,0.0,0.0,0.0
V10036,VL,6057.0,21.6,1.0,2.0,191.0,autoroute,31.6,faible,0.0,0.0,0.0
V10037,VL,8199.0,13.0,1.0,0.0,67.0,urbain,24.6,aucun,0.0,0.0,1.0
V10038,VUL,12765.0,77.8,2.0,,388.0,rural,,aucun,0.0,0.0,0.0
V10039,VL,14448.0,12.9,2.0,0.0,241.0,urbain,2.5,aucun,0.0,0.0,0.0
V10040,VL,95061.0,50.7,11.0,0.0,89.0,autoroute,23.7,aucun,0.0,0.0,
V10041,VL,41188.0,70.9,6.0,1.0,344.0,,15.9,aucun,0.0,0.0,0.0
V10042,VL,37052.0,64.6,4.0,0.0,9.0,urbain,34.1,aucun,,0.0,0.0
V10043,PL,6095.0,70.6,0.0,4.0,263.0,urbain,32.4,aucun,0.0,0.0,0.0
V10044,VL,98355.0,65.6,10.0,2.0,267.0,rural,20.3,aucun,0.0,,0.0
V10045,VUL,64153.0,92.0,7.0,0.0,319.0,urbain,32.3,aucun,0.0,1.0,1.0
V10046,,3503.0,36.2,2.0,0.0,117.0,rural,34.3,aucun,0.0,0.0,0.0
V10047,VL,61521.0,43.1,7.0,0.0,249.0,autoroute,20.6,faible,1.0,1.0,0.0
V10048,VL,39212.0,40.7,5.0,1.0,58.0,autoroute,39.8,aucun,0.0,0.0,0.0
V10049,VL,4262.0,80.8,0.0,1.0,194.0,urbain,19.7,faible,0.0,1.0,
V10050,PL,30652.0,82.5,5.0,,49.0,autoroute,18.3,élevé,0.0,0.0,1.0
V10051,VUL,33149.0,71.3,5.0,1.0,295.0,rural,26.9,faible,0.0,0.0,1.0
V10052,PL,9062.0,89.6,1.0,1.0,377.0,urbain,17.2,faible,0.0,0.0,0.0
V10053,PL,145659.0,30.5,14.0,1.0,96.0,urbain,20.7,élevé,0.0,0.0,1.0
V10054,VL,94847.0,101.7,9.0,0.0,126.0,urbain,31.3,aucun,0.0,0.0,0.0
V10055,PL,55285.0,98.1,6.0,0.0,245.0,autoroute,20.2,élevé,1.0,0.0,0.0
V10056,VL,31022.0,78.4,3.0,2.0,86.0,urbain,6.4,faible,0.0,0.0,0.0
V10057,VL,26531.0,104.5,2.0,1.0,76.0,urbain,22.9,faible,,,0.0
V10058,VL,52630.0,18.6,5.0,1.0,376.0,autoroute,14.4,aucun,0.0,0.0,0.0
V10059,VL,39420.0,46.9,4.0,,203.0,rural,26.9,aucun,0.0,0.0,1.0
V10060,VL,3214.0,41.6,0.0,0.0,145.0,autoroute,25.6,aucun,0.0,0.0,0.0
V10061,VL,35923.0,78.0,6.0,4.0,148.0,autoroute,,aucun,0.0,0.0,1.0
V10062,VUL,82098.0,33.7,9.0,1.0,110.0,urbain,27.3,faible,0.0,0.0,0.0
V10063,VL,30738.0,78.9,3.0,1.0,128.0,autoroute,28.7,aucun,0.0,0.0,0.0
V10064,VL,2667.0,94.3,0.0,1.0,252.0,urbain,14.6,aucun,0.0,0.0,1.0
V10065,VL,77154.0,77.4,8.0,0.0,165.0,rural,26.4,aucun,0.0,0.0,1.0
V10066,VL,11242.0,67.1,1.0,0.0,296.0,rural,35.7,aucun,0.0,,0.0
V10067,VUL,14962.0,35.3,1.0,2.0,136.0,urbain,14.5,aucun,0.0,0.0,0.0
V10068,VL,8998.0,38.8,2.0,1.0,278.0,autoroute,34.4,,0.0,0.0,1.0
V10069,PL,20039.0,91.2,3.0,1.0,333.0,urbain,15.6,aucun,0.0,0.0,0.0
V10070,VUL,70683.0,79.5,8.0,2.0,10.0,urbain,13.2,aucun,1.0,0.0,1.0
V10071,VL,36634.0,59.0,4.0,1.0,70.0,autoroute,22.4,aucun,0.0,0.0,0.0
V10072,VL,11463.0,49.6,2.0,0.0,158.0,rural,25.7,élevé,0.0,0.0,0.0
V10073,VUL,105117.0,9.4,11.0,0.0,215.0,rural,27.3,faible,0.0,0.0,
V10074,VUL,105839.0,33.2,11.0,0.0,25.0,rural,12.3,faible,1.0,0.0,0.0
V10075,VUL,102234.0,107.8,11.0,2.0,285.0,autoroute,23.5,aucun,0.0,0.0,1.0
V10076,VUL,,28.0,3.0,0.0,161.0,urbain,14.5,aucun,0.0,0.0,0.0
V10077,VL,30004.0,,5.0,2.0,101.0,urbain,8.1,aucun,0.0,0.0,1.0
V10078,VL,209950.0,85.2,21.0,1.0,68.0,urbain,12.6,élevé,0.0,0.0,1.0
V10079,VL,73923.0,28.6,,1.0,132.0,urbain,14.0,faible,0.0,0.0,0.0
V10080,PL,1377.0,64.6,0.0,1.0,188.0,autoroute,24.2,aucun,0.0,0.0,0.0
V10081,VUL,3371.0,83.4,2.0,0.0,210.0,urbain,29.2,faible,0.0,0.0,0.0
V10082,VL,31174.0,60.3,4.0,2.0,242.0,urbain,8.2,aucun,1.0,,1.0
V10083,VL,119965.0,131.7,12.0,0.0,165.0,urbain,22.8,aucun,0.0,0.0,1.0
V10084,VL,38685.0,18.3,3.0,0.0,60.0,autoroute,10.6,aucun,1.0,,0.0
V10085,VL,34439.0,86.5,6.0,0.0,361.0,autoroute,25.0,aucun,0.0,0.0,1.0
V10086,VUL,5573.0,55.7,0.0,2.0,278.0,,15.0,aucun,0.0,0.0,0.0
V10087,VUL,53469.0,79.3,6.0,1.0,112.0,rural,11.6,faible,0.0,0.0,1.0
V10088,PL,86327.0,71.0,8.0,1.0,29.0,urbain,26.4,aucun,0.0,0.0,0.0
V10089,VL,23935.0,41.7,3.0,0.0,322.0,rural,15.3,,0.0,0.0,1.0
V10090,VL,74718.0,65.7,8.0,,160.0,urbain,17.5,élevé,,0.0,0.0
V10091,VUL,166878.0,13.6,17.0,0.0,233.0,urbain,2.2,aucun,0.0,1.0,1.0
V10092,VUL,11393.0,75.1,1.0,,386.0,rural,27.6,aucun,0.0,0.0,0.0
V10093,VL,37046.0,67.5,3.0,0.0,376.0,autoroute,26.6,aucun,0.0,1.0,0.0
V10094,VUL,16923.0,76.0,3.0,1.0,338.0,urbain,20.0,aucun,0.0,0.0,1.0
V10095,VL,78716.0,86.5,7.0,2.0,,autoroute,7.8,aucun,0.0,0.0,0.0
V10096,,43089.0,69.2,5.0,1.0,317.0,rural,29.7,aucun,0.0,0.0,1.0
V10097,VL,50335.0,63.7,,0.0,185.0,autoroute,14.7,aucun,0.0,0.0,0.0
V10098,VL,79953.0,38.0,9.0,1.0,56.0,urbain,16.4,aucun,0.0,0.0,1.0
V10099,VL,25206.0,42.2,2.0,0.0,239.0,urbain,38.5,faible,0.0,0.0,1.0
V10100,VL,123308.0,89.7,13.0,3.0,256.0,,14.4,faible,0.0,0.0,1.0
V10101,VUL,38074.0,95.9,3.0,3.0,357.0,urbain,25.9,faible,0.0,0.0,0.0
V10102,VL,8596.0,54.0,2.0,0.0,200.0,urbain,24.5,aucun,0.0,1.0,0.0
V10103,VL,59519.0,61.2,7.0,1.0,324.0,,23.1,aucun,0.0,0.0,0.0
